459,Thanks for spotting these issues. Those looked like very safe changes but I was obviously underestimating them! Let me go back to this ,1
460,Text,0
461,"### SUMMARY It fixes an issue with the Filters panel height not taking the full view height in ""Full-screen"" mode. Additionally, it fixes an issue for which the panel appeared cut at the bottom while the page was still loading.  Fixes #15347   ### BEFORE <img width=""1792"" alt=""123208296-ab961780-d473-11eb-8c32-dfd920683b4f"" src=""https://user-images.githubusercontent.com/60598000/125471676-4e5259aa-6a8d-4df3-a515-da48d3a2a970.png"">  ### AFTER ![Screen Shot 2021-07-13 at 16 34 44](https://user-images.githubusercontent.com/60598000/125471701-5ba3b22f-35c8-4f81-8a46-fe4bb19d9dc2.png)   ### TESTING INSTRUCTIONS 1. Open a Dashboard with native filters enbabled 2. Observe the left side panel and make sure it takes the full height when loading 3. Click on the dots menu far right and enable the ""Full-screen"" mode 4. Observe the left side panel and make sure it gets the full height  ### ADDITIONAL INFORMATION <!--- Check any relevant boxes with ""x"" --> <!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue --> - [x] Has associated issue: #15347  - [ ] Changes UI - [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))   - [ ] Migration is atomic, supports rollback & is backwards-compatible   - [ ] Confirm DB migration upgrade and downgrade tested   - [ ] Runtime estimates and downtime expectations provided - [ ] Introduces new feature or API - [ ] Removes existing feature or API  ",1
462,@jinghua-qa @junlincc @rusackas  ,0
463,"This will break the filter bar height in some scenarios: - Introduce a scroll when it's not required - Mess with the filter bar height calculation when scrolling   https://user-images.githubusercontent.com/70410625/125475424-5bcb7664-2b0e-4fb4-80e3-d47b139c2577.mp4    The key to fix this is to consider the full-screen state in the `offset` variable:  <img width=""702"" alt=""Screen Shot 2021-07-13 at 11 57 00 AM"" src=""https://user-images.githubusercontent.com/70410625/125475025-237898e5-d510-4f1d-9740-ff2f9b5c53a3.png"">  ",0
464,"# [Codecov](https://codecov.io/gh/apache/superset/pull/15661?src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) Report > Merging [#15661](https://codecov.io/gh/apache/superset/pull/15661?src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (0ee7fd5) into [master](https://codecov.io/gh/apache/superset/commit/b3e699b76705185ac9db29d9ee0c4478f02231cc?el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (b3e699b) will **increase** coverage by `0.00%`. > The diff coverage is `100.00%`.  [![Impacted file tree graph](https://codecov.io/gh/apache/superset/pull/15661/graphs/tree.svg?width=650&height=150&src=pr&token=KsB0fHcx6l&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)](https://codecov.io/gh/apache/superset/pull/15661?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)  ```diff @@           Coverage Diff           @@ ##           master   #15661   +/-   ## =======================================   Coverage   76.97%   76.97%            =======================================   Files         984      984              Lines       51713    51714    +1        Branches     6977     6977            ======================================= + Hits        39807    39808    +1        Misses      11682    11682              Partials      224      224            ```  | Flag | Coverage Δ | | |---|---|---| | javascript | `71.51% <100.00%> (+<0.01%)` | :arrow_up: |  Flags with carried forward coverage won't be shown. [Click here](https://docs.codecov.io/docs/carryforward-flags?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#carryforward-flags-in-the-pull-request-comment) to find out more.  | [Impacted Files](https://codecov.io/gh/apache/superset/pull/15661?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) | Coverage Δ | | |---|---|---| | [...d/components/DashboardBuilder/DashboardBuilder.tsx](https://codecov.io/gh/apache/superset/pull/15661/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2Rhc2hib2FyZC9jb21wb25lbnRzL0Rhc2hib2FyZEJ1aWxkZXIvRGFzaGJvYXJkQnVpbGRlci50c3g=) | `90.38% <100.00%> (+0.09%)` | :arrow_up: |  ------  [Continue to review full report at Codecov](https://codecov.io/gh/apache/superset/pull/15661?src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). > **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) > `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data` > Powered by [Codecov](https://codecov.io/gh/apache/superset/pull/15661?src=pr&el=footer&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Last update [b3e699b...0ee7fd5](https://codecov.io/gh/apache/superset/pull/15661?src=pr&el=lastupdated&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation).  ",1
465,Thanks for spotting these issues. Those looked like very safe changes but I was obviously underestimating them! Let me go back to this ,1
466,"### SUMMARY Follow up of https://github.com/apache/superset/pull/15583 to remove unnecessary uses of `preselectNativeFilters`.  ### TESTING INSTRUCTIONS All tests should pass.  ### ADDITIONAL INFORMATION - [ ] Has associated issue: - [ ] Changes UI - [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))   - [ ] Migration is atomic, supports rollback & is backwards-compatible   - [ ] Confirm DB migration upgrade and downgrade tested   - [ ] Runtime estimates and downtime expectations provided - [ ] Introduces new feature or API - [ ] Removes existing feature or API  ",-1
467,"# [Codecov](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) Report > Merging [#15688](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (0b59be4) into [master](https://codecov.io/gh/apache/superset/commit/b3e699b76705185ac9db29d9ee0c4478f02231cc?el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (b3e699b) will **decrease** coverage by `0.08%`. > The diff coverage is `84.00%`.  > :exclamation: Current head 0b59be4 differs from pull request most recent head 41966ca. Consider uploading reports for the commit 41966ca to get more accurate results [![Impacted file tree graph](https://codecov.io/gh/apache/superset/pull/15688/graphs/tree.svg?width=650&height=150&src=pr&token=KsB0fHcx6l&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)  ```diff @@            Coverage Diff             @@ ##           master   #15688      +/-   ## ========================================== - Coverage   76.97%   76.89%   -0.09%      ==========================================   Files         984      984                 Lines       51713    51722       +9        Branches     6977     6976       -1      ========================================== - Hits        39807    39772      -35      - Misses      11682    11726      +44        Partials      224      224               ```  | Flag | Coverage Δ | | |---|---|---| | javascript | `71.51% <85.00%> (-0.01%)` | :arrow_down: | | presto | `?` | |  Flags with carried forward coverage won't be shown. [Click here](https://docs.codecov.io/docs/carryforward-flags?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#carryforward-flags-in-the-pull-request-comment) to find out more.  | [Impacted Files](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) | Coverage Δ | | |---|---|---| | [...veFilters/FilterBar/FilterControls/FilterValue.tsx](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2Rhc2hib2FyZC9jb21wb25lbnRzL25hdGl2ZUZpbHRlcnMvRmlsdGVyQmFyL0ZpbHRlckNvbnRyb2xzL0ZpbHRlclZhbHVlLnRzeA==) | `66.99% <ø> (-0.30%)` | :arrow_down: | | [...nd/src/dashboard/components/nativeFilters/state.ts](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2Rhc2hib2FyZC9jb21wb25lbnRzL25hdGl2ZUZpbHRlcnMvc3RhdGUudHM=) | `75.00% <ø> (-2.05%)` | :arrow_down: | | [...uperset-frontend/src/components/Menu/MenuRight.tsx](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2NvbXBvbmVudHMvTWVudS9NZW51UmlnaHQudHN4) | `90.56% <50.00%> (-3.32%)` | :arrow_down: | | [superset/views/base.py](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvdmlld3MvYmFzZS5weQ==) | `75.86% <66.66%> (-0.10%)` | :arrow_down: | | [superset-frontend/src/components/Menu/Menu.tsx](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2NvbXBvbmVudHMvTWVudS9NZW51LnRzeA==) | `69.79% <91.66%> (+2.34%)` | :arrow_up: | | [...d/components/DashboardBuilder/DashboardBuilder.tsx](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2Rhc2hib2FyZC9jb21wb25lbnRzL0Rhc2hib2FyZEJ1aWxkZXIvRGFzaGJvYXJkQnVpbGRlci50c3g=) | `90.38% <100.00%> (+0.09%)` | :arrow_up: | | [...src/dashboard/components/DashboardBuilder/state.ts](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2Rhc2hib2FyZC9jb21wb25lbnRzL0Rhc2hib2FyZEJ1aWxkZXIvc3RhdGUudHM=) | `73.17% <100.00%> (-1.25%)` | :arrow_down: | | [superset/config.py](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvY29uZmlnLnB5) | `91.21% <100.00%> (+0.05%)` | :arrow_up: | | [superset/db\_engine\_specs/presto.py](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvZGJfZW5naW5lX3NwZWNzL3ByZXN0by5weQ==) | `84.42% <0.00%> (-5.90%)` | :arrow_down: | | [superset/connectors/sqla/models.py](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvY29ubmVjdG9ycy9zcWxhL21vZGVscy5weQ==) | `88.49% <0.00%> (-1.41%)` | :arrow_down: | | ... and [1 more](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree-more&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) | |  ------  [Continue to review full report at Codecov](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). > **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) > `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data` > Powered by [Codecov](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=footer&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Last update [b3e699b...41966ca](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=lastupdated&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation).  ",1
468,Text,0
469,"### SUMMARY Follow up of https://github.com/apache/superset/pull/15583 to remove unnecessary uses of `preselectNativeFilters`.  ### TESTING INSTRUCTIONS All tests should pass.  ### ADDITIONAL INFORMATION - [ ] Has associated issue: - [ ] Changes UI - [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))   - [ ] Migration is atomic, supports rollback & is backwards-compatible   - [ ] Confirm DB migration upgrade and downgrade tested   - [ ] Runtime estimates and downtime expectations provided - [ ] Introduces new feature or API - [ ] Removes existing feature or API  ",-1
470,"# [Codecov](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) Report > Merging [#15688](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (0b59be4) into [master](https://codecov.io/gh/apache/superset/commit/b3e699b76705185ac9db29d9ee0c4478f02231cc?el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) (b3e699b) will **decrease** coverage by `0.08%`. > The diff coverage is `84.00%`.  > :exclamation: Current head 0b59be4 differs from pull request most recent head 41966ca. Consider uploading reports for the commit 41966ca to get more accurate results [![Impacted file tree graph](https://codecov.io/gh/apache/superset/pull/15688/graphs/tree.svg?width=650&height=150&src=pr&token=KsB0fHcx6l&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation)  ```diff @@            Coverage Diff             @@ ##           master   #15688      +/-   ## ========================================== - Coverage   76.97%   76.89%   -0.09%      ==========================================   Files         984      984                 Lines       51713    51722       +9        Branches     6977     6976       -1      ========================================== - Hits        39807    39772      -35      - Misses      11682    11726      +44        Partials      224      224               ```  | Flag | Coverage Δ | | |---|---|---| | javascript | `71.51% <85.00%> (-0.01%)` | :arrow_down: | | presto | `?` | |  Flags with carried forward coverage won't be shown. [Click here](https://docs.codecov.io/docs/carryforward-flags?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#carryforward-flags-in-the-pull-request-comment) to find out more.  | [Impacted Files](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) | Coverage Δ | | |---|---|---| | [...veFilters/FilterBar/FilterControls/FilterValue.tsx](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2Rhc2hib2FyZC9jb21wb25lbnRzL25hdGl2ZUZpbHRlcnMvRmlsdGVyQmFyL0ZpbHRlckNvbnRyb2xzL0ZpbHRlclZhbHVlLnRzeA==) | `66.99% <ø> (-0.30%)` | :arrow_down: | | [...nd/src/dashboard/components/nativeFilters/state.ts](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2Rhc2hib2FyZC9jb21wb25lbnRzL25hdGl2ZUZpbHRlcnMvc3RhdGUudHM=) | `75.00% <ø> (-2.05%)` | :arrow_down: | | [...uperset-frontend/src/components/Menu/MenuRight.tsx](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2NvbXBvbmVudHMvTWVudS9NZW51UmlnaHQudHN4) | `90.56% <50.00%> (-3.32%)` | :arrow_down: | | [superset/views/base.py](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvdmlld3MvYmFzZS5weQ==) | `75.86% <66.66%> (-0.10%)` | :arrow_down: | | [superset-frontend/src/components/Menu/Menu.tsx](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2NvbXBvbmVudHMvTWVudS9NZW51LnRzeA==) | `69.79% <91.66%> (+2.34%)` | :arrow_up: | | [...d/components/DashboardBuilder/DashboardBuilder.tsx](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2Rhc2hib2FyZC9jb21wb25lbnRzL0Rhc2hib2FyZEJ1aWxkZXIvRGFzaGJvYXJkQnVpbGRlci50c3g=) | `90.38% <100.00%> (+0.09%)` | :arrow_up: | | [...src/dashboard/components/DashboardBuilder/state.ts](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQtZnJvbnRlbmQvc3JjL2Rhc2hib2FyZC9jb21wb25lbnRzL0Rhc2hib2FyZEJ1aWxkZXIvc3RhdGUudHM=) | `73.17% <100.00%> (-1.25%)` | :arrow_down: | | [superset/config.py](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvY29uZmlnLnB5) | `91.21% <100.00%> (+0.05%)` | :arrow_up: | | [superset/db\_engine\_specs/presto.py](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvZGJfZW5naW5lX3NwZWNzL3ByZXN0by5weQ==) | `84.42% <0.00%> (-5.90%)` | :arrow_down: | | [superset/connectors/sqla/models.py](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation#diff-c3VwZXJzZXQvY29ubmVjdG9ycy9zcWxhL21vZGVscy5weQ==) | `88.49% <0.00%> (-1.41%)` | :arrow_down: | | ... and [1 more](https://codecov.io/gh/apache/superset/pull/15688/diff?src=pr&el=tree-more&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) | |  ------  [Continue to review full report at Codecov](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). > **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation) > `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data` > Powered by [Codecov](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=footer&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Last update [b3e699b...41966ca](https://codecov.io/gh/apache/superset/pull/15688?src=pr&el=lastupdated&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=The+Apache+Software+Foundation).  ",1
471,"### SUMMARY  This will be one of the many PRs to address perf issues raised in #15518 .  Currently the Dashboard page will wait for both `datasets` and `charts` data to start rendering, however the datasets data are only used in filter indicators and filter boxes and should not block us from rendering other charts. In our case, the `datasets` endpoint is often much slower because we have a giant single-source-of-truth datasource with thousands of metrics and columns.  Unblocking rendering from the datasets endpoint should speed up the page rendering a little bit. In our use case, it's often a matter of a full second.  It's not easy to simply remove `datasources` from Dashboard state as that would involve letting the filter indicators and filter box fetching datasource metadata themselves.  ### BEFORE/AFTER SCREENSHOTS OR ANIMATED GIF  #### Before  Dashboard renders after `/datasets` is loaded:  https://user-images.githubusercontent.com/335541/125714566-d15131a0-ea12-4ce8-a532-eef8657cd8a9.mp4  #### After  Dashboard renders as soon as `/dashboard/[id]` and `/dashboard/[id]/charts` are loaded:  https://user-images.githubusercontent.com/335541/125715172-b6d614b3-3097-4dbb-9726-b51c28b04c29.mp4   ### TESTING INSTRUCTIONS  Go to dashboard page, make sure everything still renders correctly.  ### ADDITIONAL INFORMATION <!--- Check any relevant boxes with ""x"" --> <!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue --> - [ ] Has associated issue: - [ ] Changes UI - [ ] Includes DB Migration (follow approval process in [SIP-59](https://github.com/apache/superset/issues/13351))   - [ ] Migration is atomic, supports rollback & is backwards-compatible   - [ ] Confirm DB migration upgrade and downgrade tested   - [ ] Runtime estimates and downtime expectations provided - [ ] Introduces new feature or API - [ ] Removes existing feature or API  ",1
